,time,club,id,first_name,gender,trained_10_week,trained_im,has_trainer,Age,VO2 Max,BMI,n Marathons run,Cadence
9402,02:45:25,,9378,Angela,female,1,1,0,35,25.16,21.23,0,1
13345,02:45:09,,13303,Gary,male,0,2,0,33,12.59,19.44,0,165
451,02:44:45,,451,Katrina,female,3,4,0,31,20.33,21.77,0,163
452,02:44:45,,452,Steve,male,0,4,0,38,12.71832329,22.08,0,150
7445,02:44:42,,7423,Jo,male,2,7,0,32,18.34,17.94,0,158
3146,02:44:34,,3136,Bex,male,3,3,0,43,16,19.86,0,160
7089,02:44:32,,7067,Richard,male,4,4,0,29,13.51,21.86,0,1
10692,02:44:21,,10662,Julie,female,4,6,0,37,12.71832329,17.94,0,157
1954,02:43:50,,1951,Sophie,female,0,4,0,37,19.04,19.71,0,159
14557,02:43:45,,14514,Martyn,male,0,4,0,40,12.71832329,23.25,0,158
12785,02:43:45,,12748,Judy,female,0,3,0,40,14.38,17.17,0,161
8053,02:43:38,,8031,Thomas,male,3,3,0,30,17.2,21.22,0,162
11413,02:43:38,,11380,Dave,male,0,4,0,34,22.13,21.41,0,165
9925,02:43:19,,9898,Elizabeth,female,6,6,0,29,12.71832329,21.47,0,159
6596,02:43:18,,6577,Victoria,female,0,2,0,37,20.77,20.19,0,172
1953,02:43:15,,1950,Amelia,female,1,6,0,33,17.45,19.46,0,154
1952,02:43:14,,1949,Claire,female,0,1,0,39,0,18.36,0,162
6595,02:42:54,,6576,Kelly,female,0,0,0,32,17.16,21.05,0,153
10691,02:42:52,,10661,Ruth,female,1,1,0,30,12.71832329,19.75,0,157
4660,02:42:50,,4643,Shauna,female,3,3,0,34,16.07,999,0,158
13310,02:42:48,,13269,Claire,female,0,6,0,43,14.04,17.92,0,161
3145,02:42:32,Baffins Fitclub,3135,Claire,female,2,5,1,26,0,999,0,159
6594,02:42:30,Victory Athletic Club,6575,Sara,female,0,2,1,30,32.46,18.85,0,157
6593,02:42:30,,6574,Sharon,female,2,2,0,37,21.6,18.5,0,164
7088,02:42:29,,7066,Tegan,female,0,2,0,36,30.34,19.91,0,166
4167,02:42:21,,4154,Charlotte,female,0,2,0,42,20.37,19.99,0,166
1951,02:42:20,,1948,Tonia,female,5,5,0,38,12.71832329,22.55,0,1
3839,02:42:13,,3827,Claire,female,0,2,0,32,12.71832329,20.96,0,160
3144,02:42:10,Lonely Goat Running Club,3134,Karen,female,0,3,0,30,12.71832329,17.89,0,163
6592,02:42:06,,6573,Charlotte,female,0,1,0,33,35.43,19.63,0,163
7087,02:41:20,,7065,Sophie,female,0,5,0,43,18.18,18.29,0,162
9924,02:41:19,,9897,Louise,female,2,3,0,31,33,17.46,0,160
4659,02:41:12,,4642,Emma,female,0,1,0,29,21.8,20.78,0,158
4658,02:41:08,,4641,Tracey,female,3,5,0,33,14.99,21.53,0,157
3838,02:41:07,,3826,Julie,female,0,5,0,33,0,21.25,0,151
9401,02:41:06,,9377,Steve,male,1,3,0,35,13.36,20.96,0,166
12784,02:40:57,,12747,Kathy,female,2,3,0,29,18.2,20.85,0,1
3143,02:40:55,,3133,Tracy,female,0,1,0,41,20.92,20.96,0,155
7444,02:40:44,,7422,Ellie,female,2,2,0,24,19.25,20.4,0,158
450,02:40:42,,450,Ashley,female,0,5,0,36,0,22.12,0,157
9677,02:40:25,,9650,Gemma,female,1,2,0,26,12.71832329,20.66,0,159
3142,02:40:21,,3132,Charlotte,female,0,5,0,28,17.32,999,0,163
9400,02:40:13,,9376,Molly,female,3,3,0,41,12.71832329,20.04,0,167
9399,02:40:10,,9375,Harriet,female,2,4,0,44,17.19,23.29,0,164
6591,02:40:07,,6572,Lynne,female,0,1,0,36,12.71832329,22.65,0,160
6590,02:40:03,,6571,Russell,male,0,3,0,41,11.21,17.95,0,161
5358,02:39:59,,5340,Jenni,female,1,1,0,34,12.53,19.42,0,1
5357,02:39:58,,5339,Gemma,female,2,4,0,41,18.36,16.33,0,160
1950,02:39:53,Barking Road Runners,1947,Michael,male,4,4,0,32,11.72,20.06,0,162
7086,02:39:51,,7064,Scott,male,0,4,0,32,12.94,19.68,0,156
12783,02:39:23,Portsmouth Joggers,12746,John,male,2,3,0,42,14.59,20.05,0,155
12782,02:39:22,Portsmouth Joggers,12745,Albert,male,0,7,1,37,25.39,21.04,0,161
10690,02:39:22,Portsmouth Joggers,10660,Phil,male,0,0,0,42,15.29,21.47,1000000,163
13309,02:39:07,,13268,Lee,male,0,3,0,35,12.71832329,999,0,147
13452,02:39:07,,13410,Jason,male,0,7,0,38,12.71832329,20.44,0,165
12781,02:39:04,,12744,Michelle,female,0,1,0,35,0,23.34,0,160
6589,02:39:03,,6570,Paul,male,3,3,0,34,12.71832329,21.76,0,156
7085,02:39:00,,7063,Tracy,female,0,3,0,40,12.71832329,20.09,0,164
4657,02:39:00,,4640,Melanie,female,2,7,0,37,37.57,20.37,0,156
6588,02:38:39,Baffins Fitclub,6569,Gemma,female,0,0,0,31,28.25,21.8,0,153
1949,02:38:21,Fareham Crusaders,1946,Ian,male,0,1,0,39,12.71832329,23.82,0,159
12780,02:38:19,Fareham Crusaders,12743,Lisa,female,0,4,0,37,12.71832329,20.4,0,161
9398,02:37:59,,9374,Jagjit,male,0,7,0,27,22.16,20.35,0,149
9397,02:37:56,,9373,Kirsty,female,0,1,0,37,15.18,20.42,0,163
9395,02:37:54,,9371,Ross,male,0,3,0,34,16.29,21.79,0,165
9396,02:37:54,,9372,Shane,male,2,2,0,43,21.63,18.05,0,153
6675,02:37:48,,6653,Dave,male,4,4,0,40,36.72,18.18,0,163
6674,02:37:31,,6652,Catherine,female,0,2,0,26,12.7,23.55,0,163
14555,02:37:27,,14512,Jacob,male,0,4,0,43,10.23,21.18,0,156
14556,02:37:27,,14513,Elaine,female,0,3,0,29,14.6,19.24,0,1
6587,02:37:06,,6568,Angie,female,0,6,0,43,22.21,20.28,0,160
6586,02:37:04,,6567,Claire,female,0,5,0,35,16.78,20.88,0,1
3837,02:37:01,,3825,Jim,male,0,6,0,41,12.71832329,18.75,0,164
9923,02:36:59,,9896,Amberley,male,1,1,0,33,0,20.78,0,164
1948,02:36:52,Epsom Allsorts,1945,Sue,female,3,3,0,39,12.71832329,16.91,0,153
449,02:36:49,,449,Julia,female,1,4,0,31,12.71832329,18.22,0,172
3836,02:36:37,,3824,Emma,female,0,8,1,34,22.86,19.95,0,165
5356,02:36:21,On the Run Aylesbury,5338,Holly,female,0,4,1,31,12.71832329,21.27,0,156
12778,02:36:15,,12741,Danielle,female,1,2,0,33,18.52,21.82,0,164
12779,02:36:15,,12742,Jessica,female,2,4,0,40,12.71832329,22.2,0,166
11412,02:36:00,,11379,Zoe,female,5,5,0,33,12.71832329,22.15,0,166
1947,02:35:57,,1944,Rachel,female,0,4,0,35,13.09,19.72,0,155
1946,02:35:53,,1943,Stephanie,female,0,3,0,33,18.62,20.35,0,167
8052,02:35:53,,8030,Katie,female,0,3,0,41,14.81,19.51,0,162
9394,02:35:51,,9370,Ahnaf,male,0,4,0,29,17.39,19.52,0,164
448,02:35:41,,448,Sally,female,0,5,0,32,12.71832329,18.53,0,165
7084,02:35:37,,7062,Laura,female,0,1,0,34,21.72,20.78,0,157
6585,02:35:36,,6566,Rachel,female,3,3,0,36,21.96,21.27,0,162
1945,02:35:34,St John’s Running Club,1942,Cecile,female,0,4,1,35,12.71832329,19.08,0,164
3835,02:35:31,,3823,Joe,male,0,3,0,32,12.71832329,20.65,0,166
7443,02:35:24,,7421,Shell,male,2,5,0,37,12.71832329,21.37,0,165
12777,02:35:22,,12740,Ruth,female,0,4,0,35,17.43,20.63,0,169
4656,02:35:21,,4639,Debbie,female,0,1,0,32,21.44,19.66,0,159
7442,02:35:18,,7420,Natasha,female,1,3,0,31,17.56,22.18,0,153
13308,02:35:10,,13267,Katie,female,0,3,0,29,12.71832329,21.28,0,1
8051,02:35:00,,8029,Sally,female,0,0,0,35,12.71832329,20.41,0,160
5355,02:34:45,,5337,Peter,male,1,6,0,39,20.98,19.58,0,152
6673,02:34:42,,6651,Kita,female,1,3,0,32,14.58,19.97,0,159
3141,02:34:40,,3131,Nicola,female,0,1,0,33,16.38,19.89,0,170
3834,02:34:40,,3822,Francis,male,4,4,0,33,10.83,19.57,0,161
9393,02:34:32,,9369,Jackie,male,1,4,0,41,17.67,21.51,0,171
4655,02:34:29,,4638,John,male,0,0,0,41,20.71,20.52,0,163
14554,02:34:28,,14511,Kelly,female,7,7,0,38,15.71,20.25,0,159
10689,02:34:28,,10659,Val,female,7,7,0,33,20.98,20.93,0,165
4654,02:34:13,,4637,John,male,0,4,0,34,12.71832329,20.51,0,158
4653,02:34:13,,4636,Pete,male,2,5,1,38,27.93,18.35,0,165
9392,02:34:09,,9368,Adrian,male,0,4,0,28,27.91,999,0,158
6584,02:34:03,,6565,Charles,male,4,4,0,35,11.75,20.57,0,158
3833,02:33:53,,3821,Matt,male,6,6,0,39,21.81,22.18,0,165
9391,02:33:51,,9367,Laura,female,0,3,0,38,20.85,23.38,0,159
3140,02:33:45,,3130,Rebecca,female,0,1,0,42,12.71832329,22.24,0,168
5354,02:33:39,Solent Running Sisters,5336,Rebecca,female,0,3,0,26,12.71832329,20.04,0,160
9390,02:33:38,,9366,Abigail,female,1,1,0,29,17.77,19.38,0,161
11411,02:33:35,,11378,Amber,female,0,4,0,39,14.64,21.5,0,153
447,02:33:31,,447,Elizabeth,female,6,6,0,35,20.14,17.63,0,169
6583,02:33:25,,6564,Adam,male,3,3,0,43,35.45,18,0,1
6582,02:33:17,,6563,Emma,female,0,4,0,36,12.71832329,19.01,0,164
3139,02:33:14,,3129,Ruth,female,0,7,0,28,25.05,19.06,0,175
5353,02:33:07,,5335,Anna,female,1,4,0,39,40.65,20.56,0,166
1944,02:33:03,,1941,Nerys,female,1,3,0,35,12.71832329,19.71,0,158
11410,02:33:01,,11377,Debi,female,0,5,0,27,15.8,19.34,0,157
12776,02:32:54,Isle Of Wight RRC,12739,Lyn,female,1,3,0,33,16.95,21.41,0,155
8050,02:32:52,,8028,Sandra,female,0,0,0,38,30.57,19.31,0,154
5352,02:32:27,,5334,Kristine,female,0,2,0,33,19.2,21.42,0,169
1943,02:32:16,,1940,Danielle,female,3,3,0,32,29.3,21.2,0,158
8049,02:32:04,Ryde Harriers,8027,Michael,male,0,3,0,45,33.8,17.34,0,170
5351,02:32:00,,5333,Malou,female,0,5,0,25,13.61,19.72,0,158
9389,02:31:43,,9365,David,male,0,2,0,34,14.06,18.35,0,169
6581,02:31:32,,6562,Donna,female,1,4,0,33,0,21.14,0,164
7083,02:31:22,,7061,Tracy,female,0,5,0,37,20.83,18.33,0,155
10688,02:31:21,,10658,Charlie,male,1,1,0,35,12.71832329,21.04,0,171
6580,02:31:21,,6561,Molly,female,5,5,0,38,12.71832329,19.14,0,159
11409,02:31:18,Redway Runners,11376,Donna,female,0,2,0,38,24.22,20.14,0,159
9922,02:31:16,RBR Club,9895,Dave,male,4,4,1,22,29.19,19.45,0,158
9388,02:31:12,,9364,June,female,0,4,0,39,22.84,999,0,161
3138,02:31:09,Dagenham 88 Runners,3128,Julie,female,0,0,0,33,12.71832329,18.65,0,163
6579,02:31:09,Dagenham 88 Runners,6560,Kirsty,female,0,0,0,44,12.71832329,20.62,0,164
3137,02:31:07,,3127,Peri,male,10,10,1,30,0,21.6,0,163
9387,02:30:54,,9363,Jason,male,5,5,0,37,30.97,18.48,0,164
12775,02:30:54,,12738,Geoff,male,3,5,0,44,19.63,22.23,0,169
9386,02:30:44,,9362,Emma,female,3,3,0,35,0,21.28,0,155
446,02:30:44,Haslemere Border AC,446,Annalisa,female,3,3,1,37,31.71,19.53,0,160
7441,02:30:43,,7419,Nick,male,3,3,0,42,22.18,23.29,0,155
11408,02:30:43,,11375,Kim,female,0,1,0,35,27.85,21.89,0,159
3136,02:30:42,,3126,Sharon,female,0,2,0,34,12.71832329,19.42,0,161
14553,02:30:33,,14510,Sarah,female,1,4,0,32,26.28,18.03,0,160
13307,02:30:21,,13266,Liz,female,5,5,0,35,12.71832329,19.38,0,163
8048,02:30:16,,8026,Heather,female,0,3,0,42,12.71832329,22.01,0,165
9385,02:30:09,,9361,Lorraine,female,1,1,0,32,21.98,19.8,0,159
6578,02:30:08,,6559,Sue,female,0,1,0,30,12.71832329,18.52,0,159
1942,02:30:08,,1939,Tina,female,1,5,0,28,19.45,20.36,0,161
10687,02:30:08,,10657,Sarah,female,4,4,0,39,12.71,20.18,0,155
6577,02:30:04,,6558,Louise,female,1,4,0,32,22.19,21.6,1,162
10686,02:30:04,,10656,Chloe,female,0,6,0,33,16.34,18.1,0,164
5350,02:30:03,Team Anstey Amblers and Runners,5332,Tina,female,2,2,0,41,23.31,21.47,0,156
4652,02:30:02,,4635,Nicky,male,0,3,0,35,17.67,19.58,0,1
9384,02:30:00,Run Mummy Run CRC,9360,Angela,female,9,9,1,34,12.71832329,20.01,0,161
9383,02:29:59,,9359,Michelle,female,0,3,0,46,28.26,21.33,0,152
14552,02:29:58,,14509,Emma,female,0,1,0,39,12.71832329,21.01,0,164
12774,02:29:54,,12737,Louise,female,0,0,0,29,12.71832329,16.41,0,156
9382,02:29:54,,9358,Ian,male,0,2,0,34,12.71832329,21.87,0,154
3135,02:29:51,,3125,Hayleigh,male,2,2,0,39,23.8,20.06,0,152
14551,02:29:39,,14508,Sarah,female,0,4,0,43,12.71832329,21.13,1000000,164
13451,02:29:36,,13409,Jude,male,5,5,0,38,11.32,20.18,0,160
9381,02:29:33,Rebel Runners - Medway,9357,Sammie,male,0,4,0,37,0,21.1,0,169
9921,02:29:18,,9894,Oliver,male,0,6,0,45,23.28,21.52,0,162
12773,02:29:05,,12736,Robert,male,1,7,0,31,10.04,21.15,0,159
7440,02:29:05,,7418,Belinda,female,0,1,0,39,10.82,18.53,0,1
12772,02:28:54,,12735,Chelsea,female,0,2,0,25,11.15,18.76,0,1
3134,02:28:50,,3124,Emma,female,3,3,0,41,33.23,18.5,0,156
14550,02:28:44,,14507,Ally,female,0,2,0,33,20.39,18.71,0,148
7082,02:28:44,,7060,Rhiannon,female,0,4,0,35,27.07,21.19,0,164
8047,02:28:29,,8025,Wendy,female,3,5,0,44,37.9,20.28,0,152
1941,02:28:21,,1938,Shona,female,1,4,0,40,19.46,18.8,0,163
6576,02:28:09,,6557,Sid,male,1,3,0,24,12.71832329,21.23,0,157
8046,02:28:03,,8024,Rebecca,female,3,3,0,26,0,21.11,0,158
6575,02:27:54,,6556,Michelle,female,4,4,0,37,12.71832329,19.06,0,165
3133,02:27:54,,3123,Sue,female,0,4,0,36,13.42,18.89,0,146
4166,02:27:53,,4153,Tom,male,0,3,0,31,12.71832329,20.3,0,157
6574,02:27:53,,6555,Michelle,female,4,4,0,31,13.74,17.24,0,150
9920,02:27:50,,9893,Shaun,male,0,0,0,38,18.83,19.12,0,152
14549,02:27:48,,14506,Alan,male,0,3,0,25,0,20.02,0,157
5349,02:27:45,Beginners2Runners,5331,Katie,female,1,4,1,25,10.19,23.06,1000,157
1940,02:27:43,,1937,Louise,female,0,2,0,45,12.71832329,20.92,1,145
1939,02:27:42,,1936,Stephen,male,0,3,0,48,19.52,20.02,0,170
7439,02:27:40,,7417,Sarah,female,0,4,0,31,12.71832329,18.24,0,152
11407,02:27:40,,11374,Nina,female,2,3,0,36,23.83,19.28,0,162
12771,02:27:27,,12734,Hannah,female,0,7,0,42,12.71832329,22.22,0,161
3832,02:27:14,,3820,Pamela,female,0,1,0,29,17.6,19.64,0,162
14548,02:27:14,,14505,Denise,female,6,6,0,21,12.71832329,21.15,0,159
445,02:27:11,,445,Tayla,male,0,7,0,42,21.18,21.99,0,158
14547,02:27:11,,14504,Toby,male,0,2,0,43,11.47,19.85,0,160
444,02:27:10,,444,Jessica,female,0,2,0,28,29.49,20.5,0,158
443,02:27:06,,443,Zaynah,female,0,5,0,34,38.17,20.22,0,164
3132,02:26:58,,3122,Kim,female,3,3,0,41,27.64,999,0,166
442,02:26:58,,442,Joy,female,0,3,0,34,15.88,21.02,0,162
6573,02:26:52,,6554,Saskia,female,0,4,0,33,12.71832329,20.97,0,159
14546,02:26:48,,14503,Russell,male,5,5,0,35,12.71832329,20.73,0,149
10685,02:26:44,,10655,Maysie,male,0,2,0,39,27.49,19.97,0,160
5348,02:26:39,Rebel Runners - Medway,5330,Helen,female,0,4,1,31,18.4,18.43,0,163
8045,02:26:39,Rebel Runners - Medway,8023,Maxine,female,2,2,0,35,24.89,20.49,0,160
4651,02:26:37,,4634,Charlotte,female,0,2,0,26,12.71832329,17.54,0,159
10684,02:26:35,,10654,Tracey,female,0,2,0,32,17.94,19.73,0,163
5347,02:26:35,Stubbington Green Runners,5329,Heather,female,0,2,0,47,22.58,20.16,0,160
7081,02:26:34,Stubbington Green Runners,7059,Claire,female,0,1,0,28,12.71832329,18.03,0,157
3131,02:26:30,,3121,Richard,male,0,3,0,40,20,20.65,0,160
10683,02:26:29,,10653,Richard,male,0,1,0,39,19.77,18.97,0,156
3130,02:26:28,,3120,Emma,female,0,1,0,40,17.09,24.12,0,158
7080,02:26:27,,7058,Lisa,female,1,2,0,42,17.45,20.92,0,148
1938,02:26:22,,1935,Kerry,female,0,1,0,34,12.71832329,22.24,0,156
8044,02:26:14,,8022,Maggie,female,3,3,0,32,16.3,18.51,0,164
6572,02:26:11,Zero to Hero Runners,6553,John,male,1,1,0,51,28.46,19.72,0,1
3129,02:26:09,,3119,Annabel,female,0,5,0,33,12.71832329,22.47,0,168
5346,02:26:09,100 Marathon Club,5328,Gemma,female,4,4,0,36,29.41,21.37,0,159
8043,02:26:09,,8021,Amy,female,0,3,0,33,26.38,19.75,0,159
3128,02:26:08,,3118,Olivia,female,2,3,0,23,12.71832329,17.55,0,164
5345,02:26:08,,5327,Rahab,male,1,3,0,37,30.2,19.81,0,157
6571,02:25:58,,6552,Charlotte,female,0,2,0,33,12.8,19.84,0,163
8042,02:25:42,,8020,Ruby,female,0,5,0,32,18.21,21.37,0,167
6570,02:25:42,Baffins Fitclub,6551,Nikki,female,2,6,1,37,50.62,999,0,162
441,02:25:41,,441,Andy,male,3,3,0,28,29.09,21.35,0,165
9379,02:25:40,,9355,Joseph,male,0,1,0,39,15.67,17.84,0,158
9380,02:25:40,,9356,Heather,female,0,3,0,42,21.3,20.4,0,158
6569,02:25:38,Baffins Fitclub,6550,Richard,male,0,5,0,33,15.25,19.07,1,1
8041,02:25:30,,8019,Lauren,female,0,3,0,38,13.84,999,0,155
9378,02:25:29,,9354,Jamie,female,3,3,0,27,17.28,19.59,0,149
1937,02:25:29,,1934,Jess,male,3,3,0,34,19.53,21.87,0,162
9377,02:25:29,,9353,Alice,female,0,1,0,43,20.97,19.09,0,164
6568,02:25:28,,6549,Ed,male,2,5,0,41,12.41,20.77,0,165
11406,02:25:20,,11373,Natalie,female,0,5,0,42,18.94,18.11,0,159
3127,02:25:19,,3117,Hannah,female,3,4,0,32,19.57,20.03,1000,154
12770,02:25:18,,12733,Charlie,male,0,2,0,31,20.46,21.31,0,163
8040,02:25:14,,8018,Angie,female,7,7,0,39,23.59,20.94,700,155
1936,02:25:13,,1933,Margaret,female,0,3,0,45,29.6,19.19,700,1
4165,02:25:13,,4152,Heather,female,0,1,0,34,24.12,19.48,1,162
1935,02:25:07,,1932,Charlotte,female,0,0,0,32,11.55,19.86,0,159
4650,02:25:05,,4633,Paul,male,4,4,0,33,25.72,21.54,0,159
3126,02:25:04,,3116,Lucia,female,1,4,0,37,11.96,20.58,0,156
12769,02:25:03,,12732,Phillip,male,1,1,0,33,21.66,19.33,0,163
3831,02:24:58,,3819,Katlyn,female,0,4,0,44,32.99,19.63,0,163
7079,02:24:57,,7057,Brian,male,3,3,0,34,11.51,21.56,0,163
9376,02:24:53,,9352,Jill,female,3,4,0,34,29.57,999,0,156
7438,02:24:46,,7416,Lydia,female,0,2,0,39,15.5,21.32,0,164
4164,02:24:43,,4151,Charlie,male,0,1,0,38,34.66,19.17,0,171
1934,02:24:41,,1931,Gary,male,0,4,0,36,13.16,21.02,0,158
4163,02:24:41,,4150,Emily,female,2,3,0,37,37.48,20.62,0,168
